energy,grayMatter,perimeter,whiteMatter
3.99248,0.148981,0,2.99248
3.99248,0.148981,0,2.99248
3.99236,0.149013,0,2.99233
3.99043,0.149532,0,2.98988
3.98162,0.1519,0,2.9787
3.97854,0.15273,0,2.97479
3.97854,0.15273,0,2.97479
3.97854,0.15273,0,2.97479
3.97854,0.15273,0,2.97479
3.96977,0.154873,0,2.96388
3.96977,0.154873,0,2.96388
3.9607,0.156955,0,2.95273
3.95726,0.157766,0,2.94847
3.95726,0.157766,0,2.94847
3.95025,0.160655,0,2.93858
3.95025,0.160655,0,2.93858
3.95025,0.160655,0,2.93858
3.94641,0.161687,0,2.93371
3.94641,0.161687,0,2.93371
3.94641,0.161687,0,2.93371
3.94641,0.161687,0,2.93371
3.94641,0.161687,0,2.93371
3.94641,0.161687,0,2.93371
3.94287,0.165296,0,2.92655
3.94287,0.165296,0,2.92655
3.94133,0.165709,0,2.9246
3.93393,0.167698,0,2.91521
3.93393,0.167698,0,2.91521
3.93281,0.168529,0,2.91327
3.93281,0.168529,0,2.91327
3.92806,0.170208,0,2.90683
3.92806,0.170208,0,2.90683
3.92352,0.171756,0,2.90074
3.91622,0.17615,0,2.88905
3.90665,0.179062,0,2.87656
3.8982,0.181322,0,2.86586
3.89312,0.183574,0,2.85852
3.89312,0.183574,0,2.85852
3.89312,0.183574,0,2.85852
3.89312,0.183574,0,2.85852
3.89312,0.183574,0,2.85852
3.89312,0.183574,0,2.85852
3.89312,0.183574,0,2.85852
3.88798,0.185061,0,2.8519
3.88197,0.185786,0,2.84516
3.88197,0.185786,0,2.84516
3.8756,0.187498,0,2.83708
3.8756,0.187498,0,2.83708
3.8756,0.187498,0,2.83708
3.8756,0.187498,0,2.83708
3.86824,0.189475,0,2.82775
3.86654,0.190775,0,2.82475
3.86654,0.190775,0,2.82475
3.85755,0.196786,0,2.80974
3.85428,0.19787,0,2.80539
3.84795,0.200261,0,2.79667
3.83345,0.206004,0,2.77643
3.83015,0.208759,0,2.77037
3.82077,0.211846,0,2.7579
3.81721,0.214934,0,2.75125
3.81721,0.214934,0,2.75125
3.81691,0.215743,0,2.75015
3.81691,0.215743,0,2.75015
3.81691,0.215743,0,2.75015
3.81691,0.215743,0,2.75015
3.81691,0.215743,0,2.75015
3.81691,0.215743,0,2.75015
3.80965,0.216819,0,2.74181
3.80965,0.216819,0,2.74181
3.80965,0.216819,0,2.74181
3.80756,0.217234,0,2.73931
3.80631,0.218939,0,2.73635
3.80631,0.218939,0,2.73635
3.79536,0.221786,0,2.72255
3.78935,0.224805,0,2.71352
3.78885,0.2251,0,2.71273
3.78885,0.2251,0,2.71273
3.77985,0.227414,0,2.70141
3.77985,0.227414,0,2.70141
3.77985,0.227414,0,2.70141
3.77784,0.229066,0,2.69776
3.77784,0.229066,0,2.69776
3.77784,0.229066,0,2.69776
3.77509,0.237471,0,2.6866
3.77509,0.237471,0,2.6866
3.77509,0.237471,0,2.6866
3.7618,0.240962,0,2.66982
3.75372,0.24687,0,2.65583
3.75372,0.24687,0,2.65583
3.75372,0.24687,0,2.65583
3.75372,0.24687,0,2.65583
3.75372,0.24687,0,2.65583
3.75372,0.24687,0,2.65583
3.75372,0.24687,0,2.65583
3.75372,0.24687,0,2.65583
3.75372,0.24687,0,2.65583
3.74208,0.248572,0,2.64249
3.74208,0.248572,0,2.64249
3.74208,0.248572,0,2.64249
3.74208,0.248572,0,2.64249
3.73563,0.249073,0,2.63554
3.73563,0.249073,0,2.63554
3.73563,0.249073,0,2.63554
3.73563,0.249073,0,2.63554
3.73563,0.249073,0,2.63554
3.73563,0.249073,0,2.63554
3.72387,0.257152,0,2.6157
3.72387,0.257152,0,2.6157
3.71772,0.258869,0,2.60783
3.71319,0.260004,0,2.60217
3.71319,0.260004,0,2.60217
3.71319,0.260004,0,2.60217
3.71319,0.260004,0,2.60217
3.71319,0.260004,0,2.60217
3.71319,0.260004,0,2.60217
3.70726,0.262527,0,2.59371
3.70356,0.26531,0,2.58723
3.69764,0.269006,0,2.57761
3.69368,0.272693,0,2.56996
3.69368,0.272693,0,2.56996
3.68793,0.275696,0,2.56122
3.68793,0.275696,0,2.56122
3.68577,0.276805,0,2.55794
3.68577,0.276805,0,2.55794
3.68577,0.276805,0,2.55794
3.68577,0.276805,0,2.55794
3.68577,0.276805,0,2.55794
3.68518,0.277073,0,2.55709
3.67644,0.280156,0,2.54527
3.67644,0.280156,0,2.54527
3.67644,0.280156,0,2.54527
3.67644,0.280156,0,2.54527
3.67644,0.280156,0,2.54527
3.67644,0.280156,0,2.54527
3.67294,0.28454,0,2.53738
3.67294,0.28454,0,2.53738
3.66929,0.28736,0,2.53091
3.66929,0.28736,0,2.53091
3.66929,0.28736,0,2.53091
3.66929,0.28736,0,2.53091
3.66929,0.28736,0,2.53091
3.66929,0.28736,0,2.53091
3.66929,0.28736,0,2.53091
3.66929,0.28736,0,2.53091
3.66897,0.288269,0,2.52968
3.66897,0.288269,0,2.52968
3.66897,0.288269,0,2.52968
